CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD,month,year
ET,80,2011-01,01,2011
NY,136,2011-01,01,2011
SC,159,2011-01,01,2011
TO,367,2011-01,01,2011
ET,109,2011-02,02,2011
NY,150,2011-02,02,2011
SC,154,2011-02,02,2011
TO,383,2011-02,02,2011
ET,177,2011-03,03,2011
NY,231,2011-03,03,2011
SC,213,2011-03,03,2011
TO,589,2011-03,03,2011
ET,178,2011-04,04,2011
NY,277,2011-04,04,2011
SC,261,2011-04,04,2011
TO,660,2011-04,04,2011
ET,263,2011-05,05,2011
NY,376,2011-05,05,2011
SC,375,2011-05,05,2011
TO,871,2011-05,05,2011
ET,255,2011-06,06,2011
NY,365,2011-06,06,2011
SC,334,2011-06,06,2011
TO,870,2011-06,06,2011
ET,238,2011-07,07,2011
NY,364,2011-07,07,2011
SC,352,2011-07,07,2011
TO,989,2011-07,07,2011
ET,257,2011-08,08,2011
NY,366,2011-08,08,2011
SC,345,2011-08,08,2011
TO,965,2011-08,08,2011
ET,152,2011-09,09,2011
NY,255,2011-09,09,2011
SC,276,2011-09,09,2011
TO,638,2011-09,09,2011
ET,126,2011-10,10,2011
NY,201,2011-10,10,2011
SC,218,2011-10,10,2011
TO,468,2011-10,10,2011
ET,103,2011-11,11,2011
NY,191,2011-11,11,2011
SC,182,2011-11,11,2011
TO,340,2011-11,11,2011
ET,109,2011-12,12,2011
NY,171,2011-12,12,2011
SC,149,2011-12,12,2011
TO,356,2011-12,12,2011
ET,115,2012-01,01,2012
NY,176,2012-01,01,2012
SC,171,2012-01,01,2012
TO,440,2012-01,01,2012
ET,134,2012-02,02,2012
NY,195,2012-02,02,2012
SC,160,2012-02,02,2012
TO,390,2012-02,02,2012
ET,183,2012-03,03,2012
NY,234,2012-03,03,2012
SC,243,2012-03,03,2012
TO,567,2012-03,03,2012
ET,194,2012-04,04,2012
NY,225,2012-04,04,2012
SC,252,2012-04,04,2012
TO,561,2012-04,04,2012
ET,217,2012-05,05,2012
NY,294,2012-05,05,2012
SC,332,2012-05,05,2012
TO,807,2012-05,05,2012
ET,262,2012-06,06,2012
NY,353,2012-06,06,2012
SC,340,2012-06,06,2012
TO,888,2012-06,06,2012
ET,269,2012-07,07,2012
NY,404,2012-07,07,2012
SC,371,2012-07,07,2012
TO,971,2012-07,07,2012
ET,251,2012-08,08,2012
NY,353,2012-08,08,2012
SC,346,2012-08,08,2012
TO,980,2012-08,08,2012
ET,132,2012-09,09,2012
NY,233,2012-09,09,2012
SC,215,2012-09,09,2012
TO,563,2012-09,09,2012
ET,156,2012-10,10,2012
NY,208,2012-10,10,2012
SC,215,2012-10,10,2012
TO,486,2012-10,10,2012
ET,85,2012-11,11,2012
NY,180,2012-11,11,2012
SC,170,2012-11,11,2012
TO,391,2012-11,11,2012
ET,99,2012-12,12,2012
NY,163,2012-12,12,2012
SC,158,2012-12,12,2012
TO,365,2012-12,12,2012
ET,91,2013-01,01,2013
NY,169,2013-01,01,2013
SC,138,2013-01,01,2013
TO,365,2013-01,01,2013
ET,90,2013-02,02,2013
NY,163,2013-02,02,2013
SC,126,2013-02,02,2013
TO,346,2013-02,02,2013
ET,130,2013-03,03,2013
NY,217,2013-03,03,2013
SC,188,2013-03,03,2013
TO,455,2013-03,03,2013
ET,177,2013-04,04,2013
NY,298,2013-04,04,2013
SC,219,2013-04,04,2013
TO,666,2013-04,04,2013
ET,223,2013-05,05,2013
NY,310,2013-05,05,2013
SC,300,2013-05,05,2013
TO,748,2013-05,05,2013
ET,212,2013-06,06,2013
NY,286,2013-06,06,2013
SC,303,2013-06,06,2013
TO,778,2013-06,06,2013
ET,258,2013-07,07,2013
NY,450,2013-07,07,2013
SC,319,2013-07,07,2013
TO,972,2013-07,07,2013
ET,244,2013-08,08,2013
NY,324,2013-08,08,2013
SC,322,2013-08,08,2013
TO,931,2013-08,08,2013
ET,157,2013-09,09,2013
NY,232,2013-09,09,2013
SC,233,2013-09,09,2013
TO,607,2013-09,09,2013
ET,121,2013-10,10,2013
NY,163,2013-10,10,2013
SC,208,2013-10,10,2013
TO,448,2013-10,10,2013
ET,92,2013-11,11,2013
NY,162,2013-11,11,2013
SC,140,2013-11,11,2013
TO,315,2013-11,11,2013
ET,89,2013-12,12,2013
NY,146,2013-12,12,2013
SC,130,2013-12,12,2013
TO,314,2013-12,12,2013
ET,85,2014-01,01,2014
NY,186,2014-01,01,2014
SC,139,2014-01,01,2014
TO,375,2014-01,01,2014
ET,93,2014-02,02,2014
NY,134,2014-02,02,2014
SC,126,2014-02,02,2014
TO,364,2014-02,02,2014
ET,151,2014-03,03,2014
NY,201,2014-03,03,2014
SC,180,2014-03,03,2014
TO,530,2014-03,03,2014
ET,151,2014-04,04,2014
NY,240,2014-04,04,2014
SC,229,2014-04,04,2014
TO,674,2014-04,04,2014
ET,219,2014-05,05,2014
NY,318,2014-05,05,2014
SC,298,2014-05,05,2014
TO,847,2014-05,05,2014
ET,240,2014-06,06,2014
NY,309,2014-06,06,2014
SC,315,2014-06,06,2014
TO,942,2014-06,06,2014
ET,252,2014-07,07,2014
NY,348,2014-07,07,2014
SC,338,2014-07,07,2014
TO,1024,2014-07,07,2014
ET,239,2014-08,08,2014
NY,351,2014-08,08,2014
SC,288,2014-08,08,2014
TO,967,2014-08,08,2014
ET,169,2014-09,09,2014
NY,228,2014-09,09,2014
SC,225,2014-09,09,2014
TO,658,2014-09,09,2014
ET,126,2014-10,10,2014
NY,180,2014-10,10,2014
SC,206,2014-10,10,2014
TO,489,2014-10,10,2014
ET,77,2014-11,11,2014
NY,138,2014-11,11,2014
SC,111,2014-11,11,2014
TO,347,2014-11,11,2014
ET,109,2014-12,12,2014
NY,162,2014-12,12,2014
SC,157,2014-12,12,2014
TO,357,2014-12,12,2014
ET,123,2015-01,01,2015
NY,140,2015-01,01,2015
SC,149,2015-01,01,2015
TO,327,2015-01,01,2015
ET,108,2015-02,02,2015
NY,159,2015-02,02,2015
SC,130,2015-02,02,2015
TO,333,2015-02,02,2015
ET,155,2015-03,03,2015
NY,224,2015-03,03,2015
SC,222,2015-03,03,2015
TO,559,2015-03,03,2015
ET,149,2015-04,04,2015
NY,273,2015-04,04,2015
